family,L,unit,mean_activation,flag
nb,9,h1,0.7596,active
nb,9,h2,0.2626,active
nb,9,h3,0.5607,active
nb,9,h4,0.3268,active
nb,9,h5,0.2253,active
nb,9,h6,0.527,active
nb,9,h7,0.2905,active
nb,9,h8,0.4614,active
nb_relu,10,h0,0.6335,active
nb_relu,10,h1,4.204,absorber_hi
nb_relu,10,h2,0.2667,active
nb_relu,10,h3,4.8724,absorber_hi
nb_relu,10,h4,0.3741,active
nb_relu,10,h5,0.0543,absorber_lo
nb_relu,10,h6,0.4286,active
nb_relu,10,h7,0.3095,active
nb_relu,10,h8,4.9585,absorber_hi
nb_relu,10,h9,0.2117,active
nb_relu,4,h0,1.8896,absorber_hi
nb_relu,4,h1,4.0506,absorber_hi
nb_relu,4,h2,1.5304,absorber_hi
nb_relu,4,h3,3.505,absorber_hi
nb_relu,5,h0,1.727,absorber_hi
nb_relu,5,h1,3.4752,absorber_hi
nb_relu,5,h2,4.288,absorber_hi
nb_relu,5,h3,3.6976,absorber_hi
nb_relu,5,h4,0.3988,active
nb_relu,6,h0,3.1645,absorber_hi
nb_relu,6,h1,2.627,absorber_hi
nb_relu,6,h2,0.4932,active
nb_relu,6,h3,4.9643,absorber_hi
nb_relu,6,h4,0.6992,active
nb_relu,6,h5,1.9156,absorber_hi
nb_relu,7,h0,0.206,active
nb_relu,7,h1,4.6972,absorber_hi
nb_relu,7,h2,4.2543,absorber_hi
nb_relu,7,h3,3.1489,absorber_hi
nb_relu,7,h4,2.8352,absorber_hi
nb_relu,7,h5,1.8397,absorber_hi
nb_relu,7,h6,2.9119,absorber_hi
nb_relu,8,h0,3.3457,absorber_hi
nb_relu,8,h1,0.2489,active
nb_relu,8,h2,0.0543,absorber_lo
nb_relu,8,h3,0.8302,active
nb_relu,8,h4,0.0498,absorber_lo
nb_relu,8,h5,0.5207,active
nb_relu,8,h6,4.8246,absorber_hi
nb_relu,8,h7,4.4639,absorber_hi
nb_relu,9,h0,4.8033,absorber_hi
nb_relu,9,h1,1.1176,absorber_hi
nb_relu,9,h2,0.0297,absorber_lo
nb_relu,9,h3,3.5498,absorber_hi
nb_relu,9,h4,4.2291,absorber_hi
nb_relu,9,h5,0.4044,active
nb_relu,9,h6,4.5995,absorber_hi
nb_relu,9,h7,3.2172,absorber_hi
nb_relu,9,h8,0.1194,active
nb_sigmoid,4,h0,0.7143,active
nb_sigmoid,4,h1,0.4367,active
nb_sigmoid,4,h2,0.5496,active
nb_sigmoid,4,h3,0.3499,active
nb_sigmoid,5,h0,0.3574,active
nb_sigmoid,5,h1,0.6293,active
nb_sigmoid,5,h2,0.48,active
nb_sigmoid,5,h3,0.1209,active
