,h0,h1,h2,h3,h4,h5,h6
phacotus,-1.4820341,-0.11106797,0.06368821,-0.729527,-0.36058694,-1.2155148,0.87381905
plankton_x,-0.31072238,-0.12873353,-0.139511,0.20479657,0.22028165,-0.49869332,0.57139707
plankton_y,-0.0662342,0.6094074,-0.9498005,-0.49572062,0.20931843,-0.16390312,0.14876741
plankton_z,-2.4646392,-0.6266239,-0.08461853,0.28509876,-0.4315489,-1.6221774,1.1766646
planktosphaeria,-1.2690654,0.85797715,-0.3291734,0.21953481,-0.99550986,-0.9764332,-0.41792366
polyarthra,-2.1329246,0.67606044,0.7299491,-0.7236442,0.6853968,-0.008762582,-1.0509403
protist_like_ciliate,-1.2512115,-0.9409291,0.13943079,-0.6906948,0.89610547,-0.4631042,0.991743
rhodomonas,-0.9724059,0.57302314,-0.39169487,-0.33953682,1.3564315,0.3601507,-0.44572422
rotifer,-1.5841756,0.5390461,0.5711864,-0.9697013,0.5215772,-0.88410944,-0.30285698
rotifer_long,-1.1463253,-0.092332125,0.13196665,0.14825596,-0.2264604,-0.2708024,0.7096817
rotifer_z,-0.61274207,-0.16553453,0.26526636,-0.3073092,-0.18545863,-0.78319883,1.3372784
scenedesmus,-0.60891736,-1.1405421,-0.2753974,1.0872805,-0.84935224,-0.7919084,0.83738095
snowella,-2.2423623,-0.4728408,-2.4480572,0.5648089,1.4933412,-0.66081995,1.4003626
staurastrum,-0.5276003,-0.891122,0.48568255,-0.24609934,-0.29730684,-0.1638668,-0.3130645
strombidium,-1.0712727,0.37717623,-0.55322737,-0.67215323,0.056897398,-0.24794468,0.358267
synchaeta,-0.3459456,1.280227,-0.48198217,-0.69927865,-0.25865868,-1.6636533,-1.8798709
synedra,-0.91693664,0.76379293,0.6113774,0.9870831,-0.6278459,-1.4855868,-0.5825044
synedra_angustissima,-0.64069104,-0.0006348253,-1.092961,-1.5526873,0.110554956,-1.9361868,-2.153583
synura,0.7335123,-0.3159811,0.8835214,-0.2768673,-0.33837122,-1.3263967,0.3319488
tetraedron,-1.0108068,-0.3120831,-0.64876854,0.7525543,-0.22648694,-0.26262635,0.9898455
tintinnid,-0.24586351,0.048788223,-0.71829724,-0.49480224,-0.1682241,-0.1229791,-0.6061818
trichocerca,-0.8229668,0.014579616,-0.4305734,-0.02067811,-0.26026306,-0.38536462,0.7985801
uroglena,-0.7023952,1.2904698,0.31176016,1.6273085,-3.2314928,-2.7165313,1.3745658
vorticella_epistylis_like,-0.0045285383,0.1444713,-0.79386985,0.16136472,-0.509635,-0.3835337,-0.17025024
