,h0,h1,h2,h3,h4,h5,h6,h7
aphanizomenon,0.0042922807983235434,0.011844155084054958,0.008076574650255377,0.0017981322801843326,0.02344465380130331,0.031874800292291866,0.01802219563645374,0.019574215150778142
askenasia,0.04350332012116771,0.0576780981811352,0.050666241687683654,0.01888852637971315,0.055108677175352255,0.0918609018840699,0.022250460736117406,0.04326810293282362
asplanchna,0.1056597519135612,0.042165853264164395,0.046516103439098774,0.012761931172305327,0.07038785255209505,0.25326777687685653,0.10519800060488292,0.02737424428958761
asterionella,0.005086025577117669,0.23205743609616447,0.03794822096005451,0.008952406065553923,0.012174651626273453,0.4446429430425071,0.21204478026343676,0.38410390230816527
aulacoseira,0.03403278153689262,0.07055676309742404,0.08326910232244603,1.7841418271431089,0.5225521888294804,1.0465596549121083,2.5395361452138228,0.6645161381179703
bosmina,0.01900532869472803,0.048413474320365725,0.010552821250942663,0.024327621175093343,0.028073708456897835,0.02085080362241097,0.050730840540322966,0.009841877040363331
centric_diatom,0.2396044659382689,0.4040469996664116,1.0547126006895156,1.1765700140867106,0.13844477410383754,1.3453058463193985,0.8902900617565379,0.10823496215139795
ceratium,0.12784858598166834,0.16751567350802604,0.05428136924467935,0.09747100979118173,0.11801377546209973,0.3490150621593582,0.06922631908667395,0.26985357381263614
chaoborus,0.0010819832607486231,0.0013703913512658928,0.0010539621336249968,0.0006970336035824067,0.001980872584547915,0.0017437613104108363,0.0006876950562331721,0.0017604808948541058
chlorophyte,4.33216532883661,17.640855757321997,8.308428030447207,2.627626960337384,7.655042288041432,11.976984353977642,4.441411718401961,7.150002597643724
chlorophyte_colonial_dividing,1.6980732500562257,7.1932856903336,4.371363510978016,0.7686026065477498,4.006668651961618,3.553598266122915,0.6934971405173018,6.721779661783277
chlorophyte_elongated,0.11891123117307544,0.18404614238287093,0.4120094574838207,0.046281103585286705,0.22336053486366175,0.336531679984535,0.19984222761988324,0.20256530823416546
chlorophyte_frame,0.014768968714447762,0.09413316427494531,0.1297123614120004,0.005764593489213662,0.0755256295751131,0.07938892824118274,0.010595394397193559,0.10679367470905643
chlorophyte_square,0.24617972909853966,1.3195440907223197,0.39705024288095403,0.12255183084386073,0.5135403810127614,0.38860775649120316,0.11700397270887396,0.9383481128437803
chroococcales,0.11490166351609966,0.9327080450001111,0.09772022226566983,0.0375988256733272,0.05962674835711808,0.11536989993625509,0.025330330710354055,1.6257388524859357
chydorus,0.0039137113633140935,0.03044627192011491,0.011114099724297343,0.005220073285421282,0.002718310731858064,0.009919895215196723,0.011744723054740721,0.004476153132463536
ciliate,0.01103253681797948,0.009789855043679114,0.008677604083593337,0.0051416317515039014,0.008714365855328027,0.007387241294334045,0.01629023828915029,0.006272450206028962
ciliate_big,0.00020782728420432644,0.0008199131354267824,0.00023165144933948357,0.0005170499513705764,0.00020341981565460265,0.0005716698454757512,0.0002926727953540489,0.00046728621350421775
ciliate_blue,0.26808419908216635,0.3807403814051675,0.40368118386396257,0.3708420778568672,0.49676353380719834,0.3568351607241657,0.2892132540245243,0.5152140960532196
ciliate_green,0.03326991505128989,0.04080795307460044,0.03218903568181216,0.004118301990982159,0.03950859428637766,0.07066364712553719,0.01580139005575299,0.03319609605222735
ciliate_round,0.008359414370713981,0.020901039058999864,0.026664333350521853,0.011599149206661507,0.011181175682786532,0.03022836305641261,0.06574897535892911,0.01156851119248655
closterium,0.1425379245204151,0.23103426793529772,0.22985521887327678,0.37093363250123873,0.0994729121884153,0.21223087420608563,0.16572550579260048,0.34318016708173366
coelastrum_reticulatum,0.016562314901256172,0.019742128987449883,0.004540916122346946,0.006213493146409138,0.004655085668907459,0.002401664874696016,0.02351911682398401,0.28007037266365714
coelosphaerium,0.022058960906550094,0.1477053091997183,0.04479371834364856,0.002154545801598819,0.03593242167259296,0.030474293492355087,0.00584128412059031,0.547343851597223
coleps,0.0023061679286650698,0.006310611668565328,0.004310220065493545,0.002015214373760766,0.0017144130012818086,0.0016138244288444739,0.0019902224620180317,0.004078979107093298
collotheca,0.007516464096859827,0.0307966261139721,0.04376595800727104,0.007217442412567706,0.014195047474799504,0.02637075792756492,0.004495670055203645,0.057197387044322666
conochilus,0.026004772064354004,0.0056522454214130565,0.004316447670128904,0.001781691280353475,0.00993074721544759,0.012039656423383279,0.02618076350469415,0.009795168931931688
cosmarium,0.1600510016161936,0.27094005731523757,0.25050269339382025,0.0861820611691016,0.20152851321661883,0.296052937323688,0.08036815707343173,0.25887489069534475
cryptophyte,12.236923420896174,12.02008357094529,10.557632672055876,7.223426128333125,24.342677579330058,15.647297710793971,21.33882273266285,13.59410343747006
cyanobacteria_colonial_blue,1.2767310300644443,4.7849876833524965,1.4324224227294127,1.321150018587571,4.836615828505173,5.650640188913676,0.20643587143098077,0.6241745149731365
cyanobacteria_colonial_clathrate,0.005005626532370587,0.012461932989808723,0.006235113925720356,0.002913062548014611,0.03463224020419092,0.024921052500828194,0.002386941366663718,0.017277007694276373
cyanobacteria_colonial_probably,0.48188472407951766,3.3849009631731155,0.20089025754287967,0.30740022708545056,0.38243177576179477,0.22104792383992525,0.3214184268784305,6.177089545866309
