epoch,train_mse,val_mse,train_nll,val_nll,theta_mean,sat_lo,sat_hi,sat_mid
1,57.612888956069945,35.887489318847656,0.5684009790420532,0.6435883641242981,0.9998047947883606,0.41314002871513367,0.14620603621006012,0.4406539350748062
10,45.85921944975853,30.605453491210938,0.5040743350982666,0.6019832491874695,1.0021995306015015,0.5919802188873291,0.1927822232246399,0.215237557888031
20,46.78553065061569,26.382057189941406,0.48219749331474304,0.6065956950187683,1.0076637268066406,0.6247994899749756,0.21782849729061127,0.15737201273441315
30,50.8192981004715,35.52522277832031,0.4707276523113251,0.5889862179756165,1.01529860496521,0.6341147422790527,0.2170265167951584,0.14885874092578888
40,63.13555973768234,34.5908203125,0.4637562334537506,0.5882605910301208,1.023417592048645,0.6360887885093689,0.2404688447713852,0.12344236671924591
50,28.83022118806839,30.25290870666504,0.45716366171836853,0.576923668384552,1.0320444107055664,0.6480567455291748,0.2526218295097351,0.09932142496109009
60,43.4793638586998,25.765785217285156,0.4560246765613556,0.5783567428588867,1.0413198471069336,0.6489204168319702,0.2720542848110199,0.07902529835700989
70,24.771774029731752,24.536914825439453,0.45243772864341736,0.5769702196121216,1.0504627227783203,0.6254163980484009,0.2837754487991333,0.09080815315246582
80,43.342386388778685,24.99957275390625,0.4543101489543915,0.5759326219558716,1.059672474861145,0.6128315925598145,0.29012954235076904,0.0970388650894165
90,22.11231906414032,22.585302352905273,0.4510353207588196,0.5778253674507141,1.0688704252243042,0.6011103987693787,0.30185070633888245,0.09703889489173889
100,36.210558485984805,31.267972946166992,0.4617934226989746,0.5869630575180054,1.0781280994415283,0.5839604735374451,0.32424429059028625,0.09179523587226868
110,42.43841872215271,40.14582443237305,0.47668173909187317,0.6112311482429504,1.0839208364486694,0.578963577747345,0.3326958417892456,0.08834058046340942
120,82.90435190200806,23.9992733001709,0.46605798602104187,0.593604326248169,1.0910451412200928,0.5982109904289246,0.32381245493888855,0.07797655463218689
130,286.04368953704835,44.95113754272461,0.4792807400226593,0.6139929294586182,1.0989023447036743,0.5859962701797485,0.33719924092292786,0.07680448889732361
140,243281.45236511232,646582.875,0.6096333265304565,0.8573643565177917,1.0931200981140137,0.5788401961326599,0.35601478815078735,0.06514501571655273
150,841182.2369873046,1212824.875,0.6134784817695618,0.8460307121276855,1.0794153213500977,0.5887106657028198,0.3481184244155884,0.0631709098815918
160,2454206.582385254,3582136.0,0.6447235345840454,0.8912083506584167,1.065806269645691,0.5909931659698486,0.3473781645298004,0.06162866950035095
170,2763062.5422851564,4047788.0,0.6777710914611816,0.90147465467453,1.0488526821136475,0.6016039252281189,0.3337445855140686,0.0646514892578125
180,3295716.907914734,3729434.25,0.6373048424720764,0.8919075131416321,1.0360981225967407,0.6354718804359436,0.30209746956825256,0.06243064999580383
190,7795215.700503254,28564412.0,0.791403591632843,1.4739729166030884,1.0106464624404907,0.6916717886924744,0.2626773416996002,0.045650869607925415
200,10990911.125,58758932.0,0.9516608715057373,1.9844721555709839,0.9745360016822815,0.7144972085952759,0.25317704677581787,0.03232574462890625
210,13396569.125,74350360.0,1.0615887641906738,2.2930796146392822,0.9373351335525513,0.7210980653762817,0.2515730857849121,0.027328848838806152
220,16925931.0125,91337728.0,1.1167194843292236,2.4805524349212646,0.8997469544410706,0.7249228358268738,0.25120294094085693,0.023874223232269287
230,21026078.9,97518632.0,1.1515302658081055,2.601956844329834,0.8669453263282776,0.7272670865058899,0.2494756281375885,0.023257285356521606
240,20997707.65,103198944.0,1.1776255369186401,2.722813606262207,0.8364002108573914,0.729487955570221,0.24953731894493103,0.020974725484848022
250,22154851.675,104083224.0,1.1875617504119873,2.754941463470459,0.8101109862327576,0.7317705154418945,0.2492905557155609,0.018938928842544556
260,23507849.25,104575632.0,1.1976690292358398,2.7211389541625977,0.7862085103988647,0.7367057204246521,0.24540406465530396,0.017890214920043945
270,22899922.45,104547736.0,1.1911271810531616,2.7099592685699463,0.7662423253059387,0.7456508278846741,0.23793953657150269,0.016409635543823242
280,21593858.0,103267232.0,1.1790529489517212,2.6399447917938232,0.7507734298706055,0.7502158880233765,0.2346082627773285,0.015175849199295044
290,22083576.65,101463992.0,1.1587265729904175,2.5558114051818848,0.7372189164161682,0.7573102712631226,0.22998148202896118,0.01270824670791626
300,20112722.175,100749448.0,1.1864937543869019,2.579573392868042,0.7262126803398132,0.7663170695304871,0.22134484350681305,0.01233808696269989
310,23496846.3,101326048.0,1.2670824527740479,2.741265058517456,0.7146684527397156,0.7750154137611389,0.21443553268909454,0.01054905354976654
320,22893072.8,102076648.0,1.3388649225234985,2.907137393951416,0.7032806873321533,0.7796421647071838,0.21147438883781433,0.008883446455001831
330,27119600.0,103754448.0,1.3992843627929688,3.082404136657715,0.6921641826629639,0.7830968499183655,0.2070326954126358,0.009870454668998718
340,25261300.05,108512976.0,1.4464625120162964,3.208997964859009,0.6814529895782471,0.7951264381408691,0.19599013030529022,0.008883431553840637
350,27016544.6,107681640.0,1.4594779014587402,3.2882161140441895,0.6718668937683105,0.8011103868484497,0.19025292992591858,0.008636683225631714
360,22650139.3,106362536.0,1.4683561325073242,3.209803342819214,0.6644375920295715,0.8072794079780579,0.18408389389514923,0.008636698126792908
370,23472020.15,104320440.0,1.4553344249725342,3.111954689025879,0.6585302352905273,0.8147439360618591,0.17822331190109253,0.00703275203704834
380,24824088.3,102909016.0,1.4495010375976562,3.082500457763672,0.6540663838386536,0.8208513259887695,0.1723010390996933,0.00684763491153717
390,22611205.0,103736672.0,1.4751131534576416,3.105215072631836,0.6504899263381958,0.8249228596687317,0.16829116642475128,0.006785973906517029
400,27132452.4,105752592.0,1.5528732538223267,,0.6473370790481567,0.8272671103477478,0.1666872203350067,0.006045669317245483
410,29247220.8,108050984.0,1.6460438966751099,,0.6443695425987244,0.8294262290000916,0.16403454542160034,0.0065392255783081055
420,31036371.1,109642200.0,inf,,0.6420019268989563,0.8330042958259583,0.16169030964374542,0.005305394530296326
430,31007689.0,109340056.0,,,0.6403959393501282,0.8358420729637146,0.15959283709526062,0.00456508994102478
440,33282277.9,107700016.0,,,0.6392054557800293,0.8376310467720032,0.15761874616146088,0.00475020706653595
450,30757285.5,105465592.0,,,0.6387053728103638,0.8409623503684998,0.15422578155994415,0.004811868071556091
460,31613606.8,105076016.0,,,0.6386508941650391,0.8446020483970642,0.15144971013069153,0.003948241472244263
470,31097253.3,98694512.0,,,0.6394029855728149,0.8477482795715332,0.14916718006134033,0.003084540367126465
480,30441587.8,98700880.0,,,0.64044588804245,0.8500925302505493,0.1471930891275406,0.002714380621910095
490,30057482.0,96845248.0,,,0.641846239566803,0.8525601029396057,0.14460209012031555,0.0028378069400787354
500,27643136.0,95988816.0,,,0.6435520648956299,0.8544108271598816,0.14373843371868134,0.0018507391214370728
