date,h0,h1,h2
2019-03-26,0.001235765,0.999938,0.99983525
2019-03-27,1.6929485e-05,0.99591273,0.9995505
2019-03-28,2.0050977e-06,0.9988613,0.99482876
2019-03-29,2.4280143e-06,0.9280738,0.9989599
2019-03-30,0.0009367731,0.9993647,0.999987
2019-03-31,0.003928501,0.9999534,0.9999937
2019-04-01,0.0005775416,0.99998057,0.99953616
2019-04-02,0.006172033,0.9999697,0.99851066
2019-04-04,5.2097235e-05,0.9999604,0.9999945
2019-04-05,0.0022051246,0.9999746,0.999966
2019-04-06,0.00013097434,0.99983096,0.99999523
2019-04-07,0.0764473,0.99999607,0.9999999
2019-04-10,0.00016235032,0.999772,0.998855
2019-04-11,0.004092767,0.9999876,0.99998415
2019-04-12,0.03728274,0.99999976,0.9990656
2019-04-13,0.00015583905,0.9999037,0.9104544
2019-04-14,0.02613181,0.9999994,0.9999759
2019-04-15,0.11265743,0.9999354,0.9999999
2019-04-16,0.014337967,0.993614,0.99961406
2019-04-17,0.009798443,0.9999665,0.9999924
2019-04-18,0.99957067,1.0,1.0
2019-04-19,0.27912214,0.99984705,1.0
2019-04-20,0.98186654,0.9999981,0.9999999
2019-04-21,0.99758434,0.9999999,1.0
2019-04-22,0.99999905,1.0,1.0
2019-04-23,0.99969196,0.99999726,1.0
2019-04-24,0.9987612,0.9999999,1.0
2019-04-25,0.99987495,0.9999999,0.99999964
2019-04-26,0.68060666,0.99999964,1.0
2019-04-27,0.9979494,1.0,1.0
2019-04-28,0.38349146,1.0,1.0
2019-04-29,0.9999572,1.0,1.0
2019-04-30,0.94968235,0.9999995,1.0
2019-05-02,0.99978036,0.99999976,1.0
2019-05-05,0.9965289,0.99999857,1.0
2019-05-06,0.97253054,1.0,0.9999995
2019-05-07,0.9502616,0.99999297,1.0
2019-05-08,0.9174509,0.99998593,1.0
2019-05-09,0.9997167,0.9999999,1.0
2019-05-10,0.45747304,1.0,1.0
2019-05-11,0.9191058,0.9999999,1.0
2019-05-12,0.5664617,0.99999857,0.9999993
2019-05-13,0.27860186,0.99999905,0.99989355
2019-05-15,0.018434808,0.99999535,0.999998
2019-05-16,0.004596391,0.99994874,0.1488136
2019-05-17,0.00033382475,0.999451,0.99954516
2019-05-18,0.8343092,0.9998963,0.99999964
2019-05-19,0.46720085,0.99995995,0.99999964
2019-05-20,0.01165221,0.9999862,0.9999963
2019-05-21,0.0003781147,0.9916489,0.99999607
2019-05-22,0.00014937649,0.9964753,0.99999774
2019-05-23,0.00036873197,0.9973375,0.9999752
2019-05-24,0.00055090064,0.9975043,0.9746236
2019-05-25,0.0003303939,0.99989927,0.9999981
2019-05-26,0.00058285915,0.9814496,0.9962559
2019-05-27,0.004654299,0.99999833,0.99989295
2019-05-28,1.904177e-05,0.99997926,0.99957234
2019-05-29,4.9105347e-05,0.99999654,0.017169546
2019-05-30,2.980981e-06,0.9994823,0.9023019
2019-05-31,5.1346655e-07,0.9848291,0.049272705
2019-06-01,1.5223902e-06,0.99899584,0.04726178
2019-06-02,0.00026370806,0.9996706,0.015672533
2019-06-03,1.720471e-05,0.9999938,0.14650853
2019-06-04,3.7105303e-05,0.9998172,0.25910383
2019-06-05,8.776809e-06,0.9999863,0.9540902
2019-06-06,2.2808586e-05,0.99594975,0.9401875
2019-06-07,9.466435e-07,0.99915767,0.00036468325
2019-06-08,2.4045517e-06,0.99999166,0.99699175
2019-06-09,4.0347262e-05,0.99999785,4.2306277e-05
2019-06-10,4.505946e-06,0.9998441,0.054811146
2019-06-12,1.814071e-07,0.9992711,0.01066318
2019-06-13,2.466104e-06,0.9999411,0.059101123
2019-06-14,1.9804224e-06,0.9987569,0.00069230876
2019-06-15,5.3735923e-05,0.9999993,0.026596861
2019-06-16,0.0010612231,0.9942451,0.99983084
2019-06-17,2.3043418e-07,0.99852103,0.00035473975
2019-06-19,6.102312e-07,0.9960412,0.000100168065
2019-06-21,2.883931e-06,0.9925055,0.08889793
2019-06-25,3.8042273e-07,0.9948184,1.5557733e-05
2019-06-26,5.883005e-07,0.9996138,1.600816e-09
2019-06-27,1.9433609e-08,0.79033256,5.729466e-07
2019-06-28,5.629042e-07,0.98291713,1.0760852e-08
2019-06-29,0.00015437398,0.99598217,2.8822703e-06
2019-06-30,4.7423804e-05,0.98835236,6.2227263e-09
2019-07-01,0.0018522473,0.99995446,7.700696e-07
2019-07-02,0.00011829219,0.99979526,2.8798333e-06
2019-07-03,2.3958988e-05,0.99988794,2.8004299e-09
2019-07-04,1.6429454e-05,0.999982,5.163636e-06
2019-07-05,1.4096372e-07,0.999721,1.5601127e-10
2019-07-06,1.817105e-05,0.99963295,3.0777536e-09
2019-07-07,0.00031228457,0.9999827,4.9140265e-09
2019-07-08,0.00043680175,0.999997,1.3509521e-08
2019-07-11,1.2289638e-05,0.9881413,3.33005e-08
2019-07-13,0.0001446781,0.9996916,2.3317135e-07
2019-07-14,6.3577977e-06,0.99641526,9.167416e-09
2019-07-15,1.3101297e-08,0.9162267,4.627896e-08
