date,h0,h1,h2,h3,h4,h5,h6
2019-03-26,2.7766097e-07,0.9985043,7.827682e-08,4.686455e-10,1.0227967e-06,0.9999999,1.6029032e-16
2019-03-27,4.104356e-06,0.9999831,1.2049456e-10,5.362239e-09,8.975453e-09,1.0,2.4590764e-19
2019-03-28,2.4134035e-09,0.9940171,2.2473325e-11,3.5953431e-09,2.9473835e-05,1.0,1.4945888e-16
2019-03-29,2.8590097e-09,0.9334932,2.1518414e-05,7.618617e-13,5.5875597e-07,1.0,7.043387e-19
2019-03-30,5.7173924e-07,0.9999999,4.063854e-08,7.424251e-10,1.7998544e-11,0.99999964,3.132972e-17
2019-03-31,3.258548e-08,0.9999958,1.1701699e-06,2.2110302e-12,6.015643e-11,1.0,1.5557715e-21
2019-04-01,2.7704203e-07,0.9999927,1.7911588e-06,1.3662099e-11,4.0749526e-12,1.0,6.5895614e-22
2019-04-02,6.7748374e-06,1.0,6.115608e-08,1.0786368e-09,4.2933803e-09,0.9999908,3.5307146e-17
2019-04-04,2.26248e-07,0.99980205,1.6193068e-08,4.2534956e-10,7.321057e-08,1.0,6.428403e-21
2019-04-05,2.4809226e-06,0.9999999,1.5483447e-09,8.78121e-09,5.1632236e-12,1.0,2.468328e-16
2019-04-06,8.3974605e-08,0.9999994,5.731015e-09,4.887871e-09,1.0098006e-10,1.0,5.909626e-19
2019-04-07,0.00033413296,1.0,2.8209218e-11,8.1101625e-06,1.351189e-08,0.99998593,3.1298913e-16
2019-04-10,0.000838642,0.9999999,3.6008199e-09,1.2964758e-06,3.686548e-09,1.0,6.4858297e-18
2019-04-11,9.9511344e-05,1.0,5.7125662e-11,1.0883135e-07,6.176441e-10,0.9999999,2.1178346e-20
2019-04-12,0.008980895,1.0,1.4401293e-11,6.859084e-06,8.8344996e-07,0.99999964,2.6685136e-15
2019-04-13,0.0023844629,1.0,9.212836e-12,0.052906983,1.3283136e-06,0.99997926,2.6642915e-12
2019-04-14,0.019486144,1.0,2.8746111e-12,6.141981e-05,2.410174e-09,0.99999344,1.7175541e-15
2019-04-15,0.0037741456,1.0,7.470156e-11,0.0010652276,2.0634163e-05,0.99961096,6.693126e-15
