,h0,h1,h2,h3,h4,h5,h6
plankton_x,-0.15357545,0.023828551,1.2718645,-0.73877245,-0.5435828,-0.107460104,-1.8633252
plankton_y,-1.6779757,-0.07758999,-0.81025726,-0.8733059,0.9917769,0.31024313,-2.024584
plankton_z,-0.34742087,-1.1966699,0.7280942,-2.0815356,-0.95368546,0.88424796,-2.4375165
planktosphaeria,0.74330497,-0.19102089,-0.07300442,-1.4933567,0.19625536,-0.07075768,-1.9716069
polyarthra,0.21339984,2.836195,-0.3044626,-0.7931613,-3.1734314,1.8196288,0.36152765
protist_like_ciliate,-2.783961,0.03510932,1.5353165,-0.6938083,-0.62592375,0.42706412,-2.4019582
rhodomonas,-1.1581786,2.4780405,-1.8177558,0.13460107,-1.1727766,1.2525246,-3.3213391
rotifer,0.8483249,0.92202646,-0.018663444,-0.39679936,-3.793192,1.5987774,0.048889786
rotifer_long,-0.15185548,-0.10760565,0.9144806,0.051952086,-1.2868176,0.019416451,-0.8820643
rotifer_z,0.4340034,-1.3100425,1.5144076,-0.9168125,0.19084315,0.19433102,-0.8728433
scenedesmus,-1.9665304,-1.8842092,3.5035713,-0.9579528,-0.8412443,-1.2696856,-0.47071055
snowella,-3.595604,-2.9774697,2.829469,-2.2985933,-0.41371295,-1.6295176,-1.7459214
staurastrum,-0.45978856,-0.8861452,0.15007056,-0.33477008,0.66022265,2.0938406,1.209169
strombidium,0.08061337,-0.76062983,-0.5230796,-0.36181936,-0.5006478,0.9450167,-3.1929963
synchaeta,0.3457499,-0.5612391,-1.6336513,-1.087116,-0.2757412,-1.2158251,0.55415666
synedra,0.33219525,-1.1891615,-1.1405398,-0.14613758,-1.6960536,0.10842338,-0.07776447
synedra_angustissima,-2.6810086,-0.37151664,-0.409567,-0.9047912,-0.38175735,-2.400061,1.3552818
synura,-0.8321965,-1.051434,1.2435473,-0.42020842,0.41779363,0.61402345,2.3621113
tetraedron,-0.9002916,-0.5410145,1.8320831,-2.6908062,-0.3977802,-0.0358391,-1.4528959
tintinnid,-1.882469,-0.3559937,-1.2392842,-0.15547578,0.13854113,0.48811284,-0.15488523
trichocerca,0.14986816,-0.89594513,1.0298665,0.17693196,-1.979144,0.9409494,-1.6027762
uroglena,1.6113476,-2.8042367,0.982632,-0.2740809,-2.857185,1.0983117,0.04662969
vorticella_epistylis_like,-2.9336798,-1.3516387,-0.25296864,0.70530534,-0.064134024,1.5983939,-0.6286375
