,h0,h1,h2,h3,h4,h5,h6
plankton_x,-0.08944455,0.52117735,-1.8265038,-0.22921439,-0.17901811,-1.4810075,1.0231762
plankton_y,-0.57854337,1.9816011,-0.8045337,0.8738887,0.21652907,-0.5713488,-0.7013844
plankton_z,-0.5527099,1.8441898,-2.4728763,-1.5867498,-0.32150716,-0.9503097,0.7220813
planktosphaeria,-1.3985708,0.7689364,-0.5443335,-1.2702034,-0.49310836,-0.50290835,0.31937236
polyarthra,0.31957534,-0.15373118,1.6871265,-0.87157667,-1.090207,-2.990458,1.8353673
protist_like_ciliate,-0.3027376,2.144257,-0.50075287,-0.53711045,0.33796048,-1.3896925,-0.5149736
rhodomonas,-2.5932872,-2.4701579,1.9958807,2.6287484,0.2452857,2.8461716,1.8456107
rotifer,-2.5169647,-2.4660366,1.8062333,1.9050562,0.062015798,3.0182478,1.8892589
rotifer_long,0.3739312,-0.1875568,-1.3667237,0.13584039,-0.6745518,-1.065125,0.46190596
rotifer_z,-0.5544867,0.74429435,-1.5183252,-1.6433644,-0.28478613,0.041304216,0.13947059
scenedesmus,1.68486,0.7564131,-2.4571164,-0.5790461,0.7311503,-1.1563379,-0.43648
snowella,1.2729886,-0.44887105,-3.338488,-1.7106953,4.721432,-2.2920103,0.1355543
staurastrum,1.1646581,0.68868476,0.062009133,-1.0759494,-0.7287775,0.35200092,-1.6472826
strombidium,-2.2073858,1.6126637,-1.7762609,-1.0423408,-0.48557323,-0.7474888,1.1297452
synchaeta,-0.4563363,-0.73982567,2.2608893,-1.2132362,0.4125913,-1.9491336,-0.611077
synedra,-0.27618486,-0.3483654,1.4676352,-1.5743767,-0.7604309,-0.5178935,-0.44664666
synedra_angustissima,0.5628144,-0.29735094,0.531522,0.9853697,0.68345994,-0.5541094,-3.4221733
synura,2.733053,-0.90363485,0.59886056,-0.06093344,-0.95332956,0.30666345,-1.3936976
tetraedron,0.40371704,0.87919295,-1.7382662,-0.8605576,-0.02343073,-1.0082066,0.22922996
tintinnid,1.1895515,0.5828525,0.13030803,1.9378527,-0.84617054,-0.31910715,-1.4000978
trichocerca,0.77031255,1.5200875,-0.31978703,-0.6818412,-0.81517744,-1.3806037,0.86599934
uroglena,2.5280454,-0.4313643,-0.017723244,-0.7738587,-0.9603961,-2.6388717,2.2848547
vorticella_epistylis_like,0.5246837,1.2548894,-1.0283992,1.2878008,-0.2746679,-0.64348435,-1.5026547
