archetype,aphanizomenon,askenasia,asplanchna,asterionella,aulacoseira,bosmina,centric_diatom,ceratium,chaoborus,chlorophyte,chlorophyte_colonial_dividing,chlorophyte_elongated,chlorophyte_frame,chlorophyte_square,chroococcales,chydorus,ciliate,ciliate_big,ciliate_blue,ciliate_green,ciliate_round,closterium,coelastrum_reticulatum,coelosphaerium,coleps,collotheca,conochilus,cosmarium,cryptophyte,cyanobacteria_colonial_blue,cyanobacteria_colonial_clathrate,cyanobacteria_colonial_probably,cyanobacteria_filamentous,cyclops,daphnia,daphnia_cucullata,diaphanosoma,didinium,dinobryon,dinoflagellate_diamond,dolichospermum,eudiaptomus,fragilaria,gonium,gymnodinium,kellicottia,keratella_cochlearis,keratella_quadrata,leptodora,limnoraphis,mallomonas_akrokomos,mallomonas_big,nauplius,oocystaceae,pandorina,paradileptus,pediastrum,pennate_diatom,peridinium,phacotus,plankton_x,plankton_y,plankton_z,planktosphaeria,polyarthra,protist_like_ciliate,rhodomonas,rotifer,rotifer_long,rotifer_z,scenedesmus,snowella,staurastrum,strombidium,synchaeta,synedra,synedra_angustissima,synura,tetraedron,tintinnid,trichocerca,uroglena,vorticella_epistylis_like
A1,0.000753096499503863,0.00037002578746274064,0.0031891982023157695,0.0024299080011137312,0.002892411475496772,0.00012372467712792895,0.0004643389167312644,0.000575470358177923,1.123207631854576e-05,0.011462439151578253,0.01137783226899498,0.0007502447755212071,0.00019740969305897916,0.0006288137531374523,0.0002535092544575624,5.900169758127567e-05,2.362795190048233e-05,0.0,0.0011713774662020485,0.0011690598460705358,4.04715690258833e-05,0.0010711269622045109,1.7008287412141142e-05,0.00017244823309955332,2.7452402226815166e-07,0.00013216057140326635,0.0003931310047129672,0.00043807179798805536,0.016003687357067885,0.0018231034698648944,3.1354728002556674e-05,0.0003697812028638143,1.1589830633018927e-05,0.005518186314404904,0.0035628723468969494,2.4504366247849583e-06,2.4684207148480948e-05,6.06851587699194e-05,0.7988604840600565,0.00014640490967933285,3.9596160078061455e-05,0.0013464942714947357,0.00802630606539422,1.404820595373455e-05,0.0009099987475582517,0.001615623194725159,0.0011015276615892941,0.0027115018866888277,3.666078707507419e-05,4.9636187402868306e-05,0.0008790152088894874,0.002430721528252901,0.015783353458473547,0.002024122947345871,0.00023395402486632493,0.00030226880098318496,7.322034444109086e-05,0.0007732905318258922,0.00016141784283058204,0.0022045133071010117,1.7433445499825947e-06,0.00011682352640318125,7.206961869148101e-05,4.6810997489017194e-05,0.0008828526685678581,0.00042338494449416307,0.007281384012569313,0.037559385730663086,7.073676596869103e-06,2.0057287090593802e-05,0.00012296071027675367,4.122204935794145e-07,0.0005173276790069423,0.0005281298923597508,0.0024219285160647086,0.003329404774432681,0.002054337540103024,3.7310354625568004e-07,0.00014267458193048584,8.062063815901208e-05,0.00038583242827489365,0.036662858146549765,4.1583974082556374e-05
A2,0.0012792141969748033,1.8756457643438375e-05,0.00027463280484855604,3.2735758592799096e-05,0.9574203848874395,0.00010266548114003512,0.0016896200157214616,0.0010892301264593925,2.6325121878691607e-05,0.0009463791808096978,0.00039753281766697636,0.0001573119424464717,1.165858794987151e-05,7.283399174345473e-05,6.468768664213461e-06,6.784986348580175e-06,7.450476940521396e-06,6.958940904078026e-06,0.0005131262239136048,4.517369242124353e-05,7.292736516646094e-05,0.0004938417433862957,4.868756077880358e-06,2.5964986656348925e-06,1.5932385933348166e-06,8.438845094365233e-06,0.00013810416739306694,7.389693689972065e-05,0.0024481937156993353,0.00026247983554998665,2.4617070242022212e-05,8.917574614740875e-05,0.0013301022199063155,0.001214046401767309,0.006496061323625551,2.8515142577739773e-06,8.498665364489438e-07,2.164178538920868e-06,0.00025213984666944025,0.0002712279582266981,6.718037196781113e-05,0.0006255662495127134,0.012231667380360793,1.8126621329272219e-06,0.00017692011876682765,0.0004505183403639777,0.0004071257085373536,0.0008909719597071406,7.499872842056086e-05,2.1481734635125756e-05,2.593246818964117e-05,0.00023291131103177277,0.0010516697702628922,0.00018049538014055177,1.6560465106186662e-05,0.0005059107704441266,1.1784211521677938e-05,0.0001914453431817926,5.925359642361544e-05,0.00019651782485731462,4.940527521718532e-08,2.8113336302824374e-05,3.845546659754721e-06,6.83900701658414e-06,3.564079558464551e-05,0.00019884433380375376,0.0007597838292983685,0.0026057842706195163,6.642907020393274e-07,6.505941630062897e-06,1.889735636689606e-05,0.0,6.798095847294624e-05,4.181013178501675e-05,0.0004552563575886007,9.624830878838065e-05,0.0003536675727370411,1.1139713674882197e-06,1.1737132622086386e-05,9.099981998886355e-05,6.090179244683007e-05,0.0003764509473602022,6.271880906449021e-05
A3,0.001059775725525154,0.00030450063488903336,0.007512742352303818,0.00022789272333691412,0.0025754022450028935,0.002189438562627567,0.004238467871680613,0.0011456390316283058,4.509842008272489e-05,0.03520314869619172,0.0064336741445659516,0.009894764440838255,0.0002708246529698624,0.001365123212734697,9.912408698712504e-05,3.566650762295161e-05,0.0012139968417691457,1.8071097485986725e-05,0.007196889776633192,0.00033097998957823827,0.00036251644392637776,0.002984440106193048,0.0001247367970361046,2.2991730967640008e-05,1.1231538637769253e-05,3.554196767712792e-05,0.0005713929328966538,0.0004922120233707602,0.43867402462766925,0.0008238149088941332,2.0386536721787427e-06,0.0014008325580660787,0.01102168527864084,0.030262193985875017,0.0150164934457717,1.061330505187947e-05,6.22963854440887e-05,4.1256802014370354e-05,0.000722529681185846,0.01954058927338729,0.0001800029730348842,0.00985152492999858,0.0007344992308075645,2.6808540660254864e-06,0.005435180193026939,0.007024656615251756,0.0022799179677339717,0.0035926667202573156,5.966762255953391e-05,0.0001530761663880092,0.008512387656912439,0.003009452647036795,0.07179255135872518,0.0037292897666605794,0.0002417458730663788,0.00026811831069380366,0.00018509017165045527,0.0013118871663234555,0.0004460125017593241,0.0006551013854749955,7.756395390347791e-07,0.0007934763216910087,0.00010199483419310298,0.00015580882281710895,0.007613002817427338,0.003165611570401659,0.16652758956268893,0.08436938297853251,2.3094277391306403e-05,2.2588237312235023e-05,0.00014790921861536422,8.937408977537289e-06,0.0015638841489059362,0.0019429182602002139,0.0057425273824511635,0.0009131177721958719,0.00027907181273638816,1.315341008057226e-05,0.0003721945011980691,0.0008611664005915354,0.0004990477553038068,0.0012496145719891217,0.0006229687224991463
A4,0.0009061802258470183,0.0009615085540569615,0.0014589692954071981,0.017172716006456167,0.0025842346371323993,0.0002739220413175062,0.006271023006433143,0.001649684292876592,0.00011543411437343948,0.13675237180668887,0.19090735597251537,0.0047434843832215405,0.002399122588388347,0.02346217776560511,0.029169874996899766,0.0001523436279881528,0.00012869922478381032,2.7771437413087175e-05,0.009247303023364293,0.0016480374847733157,0.00010852759957103215,0.0073732909337439955,0.0018038134084831458,0.010400277769149096,0.00013949599435234713,0.0010253692430987314,8.198795200280679e-05,0.00384348925398454,0.0673900918851566,0.02786476577710698,0.0004671162107969894,0.07726078380792077,0.02236042859884288,0.016265389336091715,0.00936460034016216,0.0003559184526922957,0.0012414742478318642,0.00015138298334962363,0.0055736822490020065,0.0008441770780897121,0.001000372080680416,0.005326372096565629,0.035302836712952645,0.0010037527860598298,0.0036331851324276835,0.0019993527410225895,0.002052348561505913,0.0017958699035707968,0.000339030312839559,0.0004448978910279056,0.0011509772084193274,0.0063484075614878505,0.01930579286257522,0.12263351847736825,0.0017359955893955573,0.0010504499351340463,0.0007672924684705683,0.011666202172789311,0.0021046072631948033,0.004309935355081564,1.1754164408394728e-05,0.000626904014738591,0.0023628810507778024,0.0002951513124433071,0.001050438324667772,0.006481766696289479,0.011911628751648863,0.02532605755915644,7.248004214249264e-05,2.7370361158501563e-05,0.003090255214284644,0.00010066523724002537,0.001360476606563544,0.0011560150201142016,0.0013293267461290616,0.0008375166877638174,0.0027044235518097976,5.970154459292119e-05,0.0019535278011866167,0.0005970016821305815,0.0008004225761805748,0.029182254537606808,0.0007425057974213634
A5,0.0005667204144270537,0.0008983587121585139,0.0008255632401413811,0.00531632002403142,0.05078525831665895,0.0004018291943343141,0.542207249238176,0.0034696050309467913,0.0,0.023202168412985797,0.007444968733451029,0.002164592920189095,0.00019891169872994987,0.0016555580788511868,0.0001130377580355352,2.8702866938960118e-05,0.0003688782836623968,0.0,0.006975287115882384,0.00042292560357369975,0.001563904438033006,0.024168754755287035,0.00024379079944232557,8.66702483623994e-06,5.904341785464622e-05,0.00016823935447600566,0.0002731119312255724,0.001730878453918069,0.05584239543700808,0.0009311346612512777,8.5628284212254e-06,0.0006463872189915925,0.0169725815282912,0.008313787838025076,0.003186493080236994,1.1448680174273198e-06,2.4449643318336403e-06,0.0005053416428048352,0.0017266366610361476,0.018411482660331175,0.000195655927518136,0.008696195883980238,0.003926855293203836,0.0,0.008290333563989467,0.009190126147360422,0.005542185957337031,0.0034224767286306027,9.17350982335684e-06,0.00013147893905251568,0.0008514562483142039,0.005604282081957826,0.028699760618305405,0.0030711634472692694,0.002063234562147856,0.0013436544405595395,0.000429088559514498,0.0048696960719616204,0.0044263622694425435,0.0008133096314754565,9.432808205908184e-06,0.003875392978950419,0.00013162659218049824,0.00022232142710038467,0.00040084312376992737,0.005688319865670817,0.08273250920765936,0.011896569654614787,1.3402329204085666e-05,1.5121602441487462e-05,0.00021559051364088684,0.0,0.0033665191320991,0.002898718618139164,0.0014407803895388244,0.000831205111443049,0.0010318045968116779,1.392630229304971e-05,0.00027620477603724195,0.0034387327618705817,0.00070400659832489,0.00026699959509786695,0.007142762926066824
