date,A1,A2,A3,A4,A5
2019-03-26,0.0,0.0,1.0,0.0,0.0
2019-03-27,0.0,0.0,1.0,0.0,0.0
2019-03-28,0.0,0.0,0.8299604480701,0.1700395519299002,0.0
2019-03-29,0.0,0.0,0.8707147104966717,0.12928528950332815,0.0
2019-03-30,0.0,0.0,1.0,0.0,0.0
2019-03-31,0.0,0.0,1.0,0.0,0.0
2019-04-01,0.0,0.0,1.0,0.0,0.0
2019-04-02,0.0,0.0,1.0,0.0,0.0
2019-04-03,0.0,0.0,1.0,0.0,0.0
2019-04-04,0.0,0.0,0.8897365063418403,0.11026349365815973,0.0
2019-04-05,0.0,0.0,1.0,0.0,0.0
2019-04-06,0.0,0.0,0.9995362191158512,0.00046378088414873037,0.0
2019-04-07,0.0,0.0,0.9407961348499462,0.0592038651500536,0.0
2019-04-08,0.0,0.0,0.9907069105415954,0.009293089458404583,0.0
2019-04-09,0.0,0.0,1.0,0.0,0.0
2019-04-10,0.0,0.0,1.0,0.0,0.0
2019-04-11,0.0,0.0,1.0,0.0,0.0
2019-04-12,0.0,0.0,1.0,0.0,0.0
2019-04-13,0.0,0.0,0.8938249118277121,0.10617508817228791,0.0
2019-04-14,0.0,0.0,0.9260753744478849,0.07392462555211513,0.0
2019-04-15,0.0,0.0,0.991157411458129,0.008842588541871092,0.0
2019-04-16,0.008290594025915211,0.0007765451267042166,0.9040439598989017,0.050827282579448824,0.036061618369030005
2019-04-17,0.0,0.0,0.9916788287412913,0.0,0.008321171258708659
2019-04-18,0.0,0.0,1.0,0.0,0.0
2019-04-19,0.008622009725533876,0.0042454175276583,0.9066784668013924,0.05740169612960998,0.023052409815805454
2019-04-20,0.003658393645030052,0.0014003086023663064,0.9594385344226269,0.023931497445862364,0.011571265884114381
2019-04-21,0.011731594533237528,0.006355424001244978,0.8622384419392831,0.09366982017880171,0.02600471934743261
2019-04-22,0.005773332062482664,0.002577426732963544,0.9043026138761854,0.06031671112583066,0.027029916202538154
2019-04-23,0.0063900206614819705,0.005787156593422702,0.8974068061471688,0.071358916304092,0.01905710029383445
2019-04-24,0.0006390629418335679,0.010324135518834937,0.8712571817593069,0.10566189811884287,0.012117721661181633
2019-04-25,0.009263872048857947,0.00189030029749062,0.7958582777255604,0.16254962508368045,0.030437924844410325
2019-04-26,0.004142629722371021,0.006711888495021417,0.8424223903530581,0.12005244162527412,0.02667064980427511
2019-04-27,0.010163267752758562,0.005348377623146491,0.7984530180293311,0.1447745413792496,0.04126079521551433
2019-04-28,0.008395671141800301,0.006286477211360627,0.8476957698988377,0.1014813283295594,0.03614075341844192
2019-04-29,0.010886394680562506,0.005105913412476768,0.8211785906786633,0.11206683892507087,0.05076226230322639
2019-04-30,0.01343744629891637,0.006475387573542678,0.7904453418918066,0.14353918403597235,0.046102640199761784
2019-05-01,0.020067768502410814,0.0068239162798970215,0.6805449120429998,0.2239023166341406,0.06866108654055156
2019-05-02,0.01539961237306408,0.009786061824736101,0.6271284590626779,0.2863169297764647,0.0613689369630573
2019-05-03,0.010088639569547812,0.0019997585483758733,0.6504312813802261,0.29064303777643286,0.04683728272541733
2019-05-04,0.003389255360578061,0.0,0.74033072384629,0.21574653435336846,0.04053348643976347
2019-05-05,0.0,0.012178831632336512,0.6758364483883553,0.2784049350708826,0.03357978490842577
2019-05-06,0.0,0.003100312063140655,0.7504283780012408,0.22523284034800903,0.021238469587609388
2019-05-07,0.0005992447069218428,0.0008610057708929499,0.6738767896136876,0.28504178100658123,0.03962117890191646
2019-05-08,0.0,0.002249486231321249,0.6651609688652106,0.3118819379776251,0.020707606925843152
2019-05-09,0.0,0.0023273431287400385,0.6497483139523844,0.32984456725975747,0.01807977565911813
2019-05-10,0.0,0.003599349151787016,0.6475194788906202,0.321800829161279,0.027080342796313772
2019-05-11,0.0,0.0,0.6486085873470753,0.33922850271492183,0.012162909938002796
2019-05-12,0.0,0.0,0.6283473733863673,0.3531487400999847,0.018503886513648284
2019-05-13,0.0,0.0,0.658738765768518,0.31574994679416907,0.025511287437312978
2019-05-14,0.0,0.0,0.6741000254883434,0.3123381913186639,0.013561783192992734
2019-05-15,0.0,0.0,0.6742125727365732,0.30338748198741816,0.022399945276008606
2019-05-16,0.0,0.0,0.7083828691932145,0.2548441796528852,0.03677295115390042
2019-05-17,0.0,0.0,0.771314951145783,0.1914551692234806,0.037229879630736394
2019-05-18,0.0,0.0,0.7269057034632316,0.23071527078549434,0.04237902575127399
2019-05-19,0.0,0.0,0.631326159962404,0.318394989204043,0.05027885083355282
2019-05-20,0.0,0.0,0.7567939102804592,0.23703478425154045,0.006171305468000196
2019-05-21,0.0,0.0,0.7047704805530133,0.2687333273472237,0.026496192099763036
2019-05-22,0.0,0.001512949885743119,0.5279147974456004,0.417118501756481,0.05345375091217562
2019-05-23,0.0,0.0,0.5227972318039197,0.4136350045967818,0.0635677635992984
2019-05-24,0.0,0.0,0.4037352018166587,0.5432631651948944,0.05300163298844689
2019-05-25,0.0,0.0,0.4497490232565156,0.5113880539104422,0.03886292283304236
2019-05-26,0.0,0.0,0.5930474410778904,0.40695255892210935,0.0
2019-05-27,0.0,0.0,0.2967478503049773,0.6764411964966766,0.02681095319834592
2019-05-28,0.0,0.0,0.24006140026047293,0.7455733428341944,0.014365256905332469
2019-05-29,0.004270370010403138,0.0,0.20221395437907075,0.7553671993107256,0.03814847629980059
2019-05-30,0.030518731288312586,0.006921668282107496,0.09463000425560666,0.7929185940854794,0.07501100208849383
2019-05-31,0.045873803860195086,0.009828873975913893,0.07134873785131998,0.7956869336674353,0.07726165064513581
2019-06-01,0.06632702970249876,0.021383040656617433,0.0998650645603988,0.7199310448624675,0.09249382021801739
2019-06-02,0.10236077869051402,0.027806761352163298,0.09034061979185795,0.6762974918583007,0.10319434830716409
2019-06-03,0.16373257479331982,0.021195677736129556,0.09447645423246517,0.6374342693455615,0.08316102389252394
2019-06-04,0.3820457255775727,0.007455881783367355,0.1091532929706589,0.4446663182470496,0.05667878142135134
2019-06-05,0.5391997324048803,0.0,0.11862487571231127,0.31899021209035716,0.02318517979245123
2019-06-06,0.43180076236850345,0.0,0.2540292856626433,0.3141699519688533,0.0
2019-06-07,0.4955250934648217,0.0,0.2659333507332316,0.23854155580194675,0.0
2019-06-08,0.48702171129117944,0.0,0.16527612956169488,0.34770215914712566,0.0
2019-06-09,0.40359998865130453,0.0,0.25323102384437535,0.34316898750432,0.0
2019-06-10,0.28051157107939945,0.0,0.43196190268309903,0.28752652623750147,0.0
2019-06-11,0.2292513531684067,0.0,0.4218124976898495,0.3489361491417437,0.0
2019-06-12,0.1937881360673667,0.0,0.30498828968886593,0.5012235742437673,0.0
2019-06-13,0.1925593891629929,0.0,0.15612493822328571,0.6513156726137214,0.0
2019-06-14,0.21293896146672178,0.0,0.09722102705829298,0.6898400114749852,0.0
2019-06-15,0.19936471688442203,0.0,0.17788043618144417,0.6227548469341337,0.0
2019-06-16,0.17584984229460263,0.0,0.2474650213890773,0.5766851363163201,0.0
2019-06-17,0.17062096887459777,0.0,0.1733772387309853,0.656001792394417,0.0
2019-06-18,0.21769403212566016,0.0,0.2919684591865616,0.4903375086877783,0.0
2019-06-19,0.37744508359564205,0.0,0.18561803072744343,0.4369368856769145,0.0
2019-06-20,0.42328655542143034,0.0,0.2135407603028828,0.36317268427568694,0.0
2019-06-21,0.48803921224305624,0.0,0.21436339461939669,0.29759739313754696,0.0
2019-06-22,0.5067467722320204,0.0,0.2204806081380465,0.2727726196299331,0.0
2019-06-23,0.519338608403879,0.005131096016047606,0.09489213425573223,0.36887809176250586,0.01176006956183526
2019-06-24,0.5205424762549344,0.004682748050319856,0.07780951930593166,0.38482038418688336,0.012144872201930706
