pattern,n_days,fraction,n_units_on
0010000,529,0.2775,1
1000000,434,0.2277,1
0000100,295,0.1548,1
0000001,240,0.1259,1
0100000,168,0.0881,1
0001000,139,0.0729,1
0000010,101,0.053,1
