epoch,train_mse,val_mse,train_pll,val_pll
1,0.21791299656033516,0.23691979050636292,0.6285046935081482,0.6689191460609436
10,0.17559225857257843,0.19571439921855927,0.5249801874160767,0.5772184729576111
20,0.16332236751914025,0.1890370100736618,0.49852079153060913,0.5652780532836914
30,0.15640347674489022,0.18526744842529297,0.48237913846969604,0.5591543316841125
40,0.15051098987460138,0.1826682984828949,0.47052493691444397,0.5532150864601135
50,0.1472179226577282,0.17894352972507477,0.46159231662750244,0.5449301600456238
60,0.14659693986177444,0.17785979807376862,0.4559931457042694,0.5427998900413513
70,0.14220700971782207,0.17845985293388367,0.4519300162792206,0.5477200150489807
80,0.13996099159121514,0.17781683802604675,0.44775548577308655,0.5427363514900208
90,0.1408878855407238,0.17627456784248352,0.4449876546859741,0.5403018593788147
100,0.13326639384031297,0.17572236061096191,0.44233790040016174,0.5392380356788635
110,0.13637697026133538,0.17389047145843506,0.4398552477359772,0.5374860763549805
120,0.1394086204469204,0.17307054996490479,0.43777570128440857,0.5356917381286621
130,0.1316970992833376,0.17533299326896667,0.4361698031425476,0.5395653247833252
140,0.13514080010354518,0.17408563196659088,0.4343550205230713,0.5388370752334595
150,0.13299741819500924,0.1729450672864914,0.43178632855415344,0.5364500880241394
160,0.13387705460190774,0.17349110543727875,0.4305146038532257,0.5390207171440125
170,0.1310918264091015,0.1724986732006073,0.4294372797012329,0.5355879068374634
180,0.12897443808615208,0.17036199569702148,0.42827358841896057,0.5314717292785645
190,0.13195130415260792,0.17151637375354767,0.4271305203437805,0.5357956886291504
200,0.12988971099257468,0.1717129498720169,0.4259986877441406,0.5361816883087158
210,0.12834395840764046,0.17078617215156555,0.42504698038101196,0.5344936847686768
220,0.12843312323093414,0.16889241337776184,0.42401057481765747,0.5321690440177917
230,0.13011695444583893,0.1691581755876541,0.4226493239402771,0.5312402844429016
240,0.1259353097528219,0.16808632016181946,0.42153361439704895,0.5288156867027283
250,0.12773095592856407,0.16790181398391724,0.420453280210495,0.527882993221283
260,0.1259302046149969,0.1664455384016037,0.41969266533851624,0.5250886082649231
270,0.1270615067332983,0.16634820401668549,0.41899770498275757,0.5241177082061768
280,0.1264592945575714,0.1656191349029541,0.41873955726623535,0.5238747000694275
290,0.1266925971955061,0.16562974452972412,0.4180971384048462,0.5245424509048462
300,0.12619513384997844,0.1659468114376068,0.4178641736507416,0.5240423679351807
310,0.12595508620142937,0.16515418887138367,0.4175209701061249,0.5230488777160645
320,0.1262938015162945,0.1662897914648056,0.4172511398792267,0.5238525867462158
330,0.12534088529646398,0.16475391387939453,0.41697630286216736,0.5222952961921692
340,0.12566755898296833,0.16553714871406555,0.4168325364589691,0.5235069394111633
350,0.12536312080919743,0.16508963704109192,0.4165596663951874,0.522746205329895
360,0.1249957948923111,0.16548119485378265,0.4162428379058838,0.5220152139663696
370,0.1257095243781805,0.16467219591140747,0.4159102439880371,0.5219165682792664
380,0.12653186842799186,0.16464172303676605,0.4158378839492798,0.5210134983062744
390,0.12495968751609325,0.16506633162498474,0.4156901240348816,0.5204555988311768
400,0.12507898323237895,0.16446474194526672,0.4155346751213074,0.5198954939842224
410,0.125473103672266,0.16449366509914398,0.415255606174469,0.5207597613334656
420,0.12576799280941486,0.16475920379161835,0.4151546061038971,0.5212991237640381
430,0.12598129138350486,0.16492298245429993,0.4150371551513672,0.5204199552536011
440,0.12597075738012792,0.1647820621728897,0.4149662256240845,0.5210500359535217
450,0.12525838539004325,0.16485702991485596,0.41473138332366943,0.5202344059944153
460,0.1253683753311634,0.16427390277385712,0.41463539004325867,0.5199705362319946
470,0.12513620927929878,0.16403494775295258,0.41465696692466736,0.5193653702735901
480,0.12501341365277768,0.16425253450870514,0.4145165681838989,0.519951343536377
490,0.1252672743052244,0.1643027514219284,0.4144536256790161,0.5195748805999756
500,0.12526130639016628,0.16342434287071228,0.41437506675720215,0.5189188122749329
