,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9
gonium,-1.7355489,0.21635488,-1.3433053,-2.2346625,-0.4880084,-0.7201262,-0.72963554,1.5153445,-0.77729577,-1.0408863
gymnodinium,1.254691,-0.6111179,-2.1303456,0.660562,-0.02532168,1.3188593,0.97020787,1.3509125,-4.089772,0.45416635
kellicottia,0.30682933,-0.42790005,-3.6126795,0.97514087,2.3232596,1.6056924,1.1017859,-0.319813,0.2080343,-2.1659396
keratella_cochlearis,0.5572451,0.04988674,-2.2863646,1.3675394,-0.59423864,-1.0881971,0.27272215,-0.33036914,-0.25639367,-2.3143904
keratella_quadrata,1.2167904,1.696322,-1.9078885,0.0010729603,2.4226685,-0.9613498,1.3928363,-1.1125668,0.04080794,-2.185246
leptodora,-0.43055874,-0.5213695,-0.15542777,0.713052,0.52909696,-2.1434314,0.09596042,0.8609767,-0.9689811,0.20039804
limnoraphis,0.4594532,-1.5915966,0.36602122,0.66547865,0.6775023,-2.9385293,0.23182723,-0.50162077,-1.4575717,-0.4618599
mallomonas_akrokomos,-0.42979676,-0.116354614,0.24749951,-2.3523884,0.24595872,0.99693334,0.5313078,0.20518446,-0.8627452,1.4384384
mallomonas_big,-0.047467526,-1.2665113,-0.13630019,-1.0668212,-2.515041,-1.3007119,0.053033583,0.32397303,0.0465127,0.57244295
nauplius,-1.215972,0.34798917,-2.8693984,-2.1704292,2.135371,0.7506047,0.6881322,-0.04615953,-0.6846934,0.08957242
oocystaceae,-1.2843933,0.4536411,-1.2566439,0.61380976,-0.06344901,-1.3859206,0.7488911,1.9239478,-2.3731198,-0.5156277
pandorina,-0.8645314,-0.46177036,0.22482346,1.622083,-0.3124165,0.63261014,1.4178642,1.0795767,1.0364131,-2.8157194
paradileptus,1.1756591,-0.96379834,-0.25266436,0.86566883,0.1655818,-3.3201132,2.0938685,2.0041134,0.9488061,-1.1105063
pediastrum,-2.686586,-0.43971005,-0.5343199,1.5627568,-0.9105734,-1.2177738,-0.31336367,1.478468,0.3543813,-1.3955711
pennate_diatom,-0.1297543,-0.59497434,-0.8486324,-0.5929257,0.5065008,0.649017,2.1873157,-0.6947202,-0.69700223,0.24486107
peridinium,1.3405327,-1.1502235,-1.8348373,-0.8940286,-2.8621693,1.4212317,0.8401703,2.239549,-2.0139952,1.0602556
phacotus,-0.7737875,1.9614564,-0.7058198,-0.63869977,-0.42075717,-0.74997836,1.0981361,0.86558384,-2.4658248,-0.89450836
plankton_x,-0.34313756,0.12793148,-2.146246,-0.22152527,-0.09609083,-0.447506,-0.37917396,1.0415002,-1.3082441,0.58123183
plankton_y,0.7938926,-0.9399603,-0.92680347,-0.21845427,-0.7925594,0.61564714,0.5886568,-0.6247393,-1.0687501,-0.5250144
plankton_z,0.67080915,0.14090955,-0.8104164,-2.5429554,-1.2168022,-0.66077214,0.39671168,0.30978888,-1.728566,-1.3624989
planktosphaeria,0.5812106,0.93334025,-1.0490282,-2.108431,-2.287242,0.18241476,0.28587317,-0.6496824,-0.65857214,0.8110537
polyarthra,-2.4154952,0.101490505,-1.3808856,-2.3672986,0.8564076,1.0191176,0.67051053,-0.31843224,1.0027542,0.5643633
protist_like_ciliate,0.44373912,-2.2674766,-0.9900645,-0.019035963,0.53376114,0.37500098,0.8594719,2.3884082,-2.6395001,-0.39927268
rhodomonas,0.155127,-0.7886137,-2.0208025,-1.8377793,0.6935485,1.53679,-0.3618769,-1.6069077,-1.6095932,0.7761368
rotifer,-1.962105,0.3466183,-2.0242805,-2.449411,1.5828156,-0.76399374,1.0365406,-0.50003904,0.83014935,-0.1990813
rotifer_long,0.7197678,-0.2687476,-0.88008904,-1.5591851,0.077107094,-1.0963448,-0.07320313,0.45455658,-0.5903176,0.3886591
rotifer_z,0.05841267,0.81668746,1.3814669,-0.644935,-0.21825476,-0.76523596,0.35915467,1.4790145,-0.89789623,-1.165551
scenedesmus,-0.9793015,-1.5561311,-1.8119286,1.0737823,-1.2098318,-2.2251887,0.5948996,3.1743264,-0.3844442,0.9195366
snowella,-0.92952806,-2.4607003,-0.5451159,0.5767878,-2.5914917,-3.0714111,-1.0841167,1.9926621,-2.4947553,1.3089204
staurastrum,-1.0478123,-0.84771526,-0.18365473,0.09286424,-1.4478186,0.4636449,0.28075123,0.18242592,1.2095773,-1.2830354
strombidium,1.1454653,0.734839,-3.6643713,-0.83310586,-0.49829638,0.12855932,-0.2808695,-0.48300502,-1.634167,-0.42898995
synchaeta,-0.26580533,0.46585315,2.6648226,-1.0219806,-0.28122136,-1.2073902,1.7914954,-2.3932016,-0.0213713,0.31951147
synedra,-0.61717176,0.61237144,-0.61156017,-0.28129095,0.3081316,-1.1675736,1.1917309,-0.82614946,0.5648824,0.1159886
synedra_angustissima,-1.7517724,-3.2779052,2.2904415,1.252588,-1.2304169,-1.6699139,2.5160687,-1.0254046,0.082413726,2.1935217
synura,-0.8335631,-1.9120269,0.7227535,1.1917379,0.72602445,-1.0997285,-0.18519455,1.287166,1.3097727,-1.8217727
tetraedron,-1.5191605,-0.7675313,-1.9803158,-0.24799678,-0.9692268,-1.2764046,-0.3587723,1.1451175,-1.6227195,0.026908547
tintinnid,-0.67046154,-1.1882099,-1.7200927,1.476476,-1.3249577,1.0328217,1.1048133,-0.6493777,-0.10930321,0.5472877
trichocerca,0.5930884,0.33351877,-2.3379426,-1.1749239,0.08541647,-0.9298343,-0.30996177,0.59984905,-0.8465487,-0.4472173
uroglena,-0.98360777,1.0404801,-0.97877485,-1.4121959,-0.3017408,-2.7172866,1.1828749,0.49903065,1.0923303,-0.45847568
vorticella_epistylis_like,1.0844842,-2.3916576,-1.2983326,0.612728,-0.33023614,0.11995952,0.99051267,0.15540987,-0.5623719,-1.7978092
