,H0,H1,H2,H3,H4,H5
A1,0.9565217391304348,0.8695652173913043,0.9130434782608695,0.8695652173913043,0.7391304347826086,1.0
A2,0.8,1.0,1.0,1.0,1.0,1.0
A3,0.7741935483870968,0.7741935483870968,0.9354838709677419,0.7419354838709677,0.6451612903225806,0.9354838709677419
A4,0.7659574468085106,0.8085106382978723,0.7659574468085106,0.7659574468085106,0.8085106382978723,0.8723404255319149
A5,0.6944444444444444,0.7777777777777778,0.8611111111111112,0.7777777777777778,0.7222222222222222,0.8611111111111112
