,H0,H1,H2,H3,H4,H5
A1,0.2003700109139977,0.0329084092105589,0.02051377687449978,0.14971964536013532,0.01931937229316469,0.06554771668030389
A2,0.6740875556872459,0.07557165316771601,0.845651582936387,0.04023122785121382,0.010213162510531369,0.01332702545749734
A3,0.2481742807648044,0.4116533499184275,0.5349798030576385,0.7161487414163983,0.36241035606776495,0.7284402805819616
A4,0.34108062431205594,0.5236540024810162,0.19191575845172426,0.7001539168818468,0.7808245157325704,0.8029942117814775
A5,0.1312114308894763,0.6115280275860485,0.19416229958976655,0.14886847586455032,0.07517490036814013,0.14570121168757444
