epoch,train_mse,val_mse,train_pll,val_pll
1,0.11685103513300418,0.12201321870088577,0.36022982001304626,0.3790030777454376
10,0.09446452744305134,0.10620060563087463,0.31888696551322937,0.3404172956943512
20,0.0896060686558485,0.10295948386192322,0.3034272789955139,0.3366369605064392
30,0.08645696081221103,0.1011228933930397,0.2958040237426758,0.3311912417411804
40,0.08321433924138547,0.0995142012834549,0.29188215732574463,0.3291971683502197
50,0.08253645449876786,0.10057728737592697,0.2878095805644989,0.3335649073123932
60,0.08326999954879284,0.10030757635831833,0.2862851321697235,0.33665430545806885
70,0.0792081318795681,0.09913080930709839,0.28287455439567566,0.33306920528411865
80,0.07975914292037486,0.09947952628135681,0.28045472502708435,0.33515244722366333
90,0.07938053011894226,0.09957806020975113,0.28000766038894653,0.3366546928882599
100,0.07691288366913795,0.09954299032688141,0.2776830494403839,0.3354763686656952
110,0.07706806734204293,0.09941284358501434,0.27742287516593933,0.33787792921066284
120,0.0754147157073021,0.09753333032131195,0.2756554186344147,0.3334859311580658
130,0.07692896910011768,0.09795161336660385,0.2754392623901367,0.33561602234840393
140,0.07639624364674091,0.09754183143377304,0.273563951253891,0.3348913788795471
150,0.07681873627007008,0.09712198376655579,0.27280914783477783,0.33424216508865356
160,0.07427947372198104,0.09678282588720322,0.2723248600959778,0.33235713839530945
170,0.07545340247452259,0.09751663357019424,0.27161723375320435,0.3344268202781677
180,0.07440818138420582,0.09653933346271515,0.27135586738586426,0.33449509739875793
190,0.0738652054220438,0.0965217724442482,0.2709631025791168,0.3341800272464752
200,0.07429299168288708,0.09626676887273788,0.2704155147075653,0.33246147632598877
210,0.07478419877588749,0.09591920673847198,0.26996544003486633,0.33085983991622925
220,0.07335448637604713,0.09619621932506561,0.2695513069629669,0.3339166045188904
230,0.0738533977419138,0.09628889709711075,0.2688121795654297,0.3351036608219147
240,0.07342536821961403,0.09665070474147797,0.26845332980155945,0.3350891172885895
250,0.07269316688179969,0.09635934978723526,0.2680865526199341,0.3347248435020447
260,0.07468736805021763,0.09595433622598648,0.268071711063385,0.33428311347961426
270,0.07378610000014305,0.09662412106990814,0.2675718069076538,0.3352765440940857
280,0.07270462960004806,0.09650997072458267,0.26731133460998535,0.336078941822052
290,0.07331756688654423,0.09564352035522461,0.2669328451156616,0.33411523699760437
300,0.07333144508302211,0.09627587348222733,0.2669108808040619,0.33642756938934326
310,0.0727099385112524,0.09548391401767731,0.2665136754512787,0.33413460850715637
320,0.07286109663546085,0.09522605687379837,0.26609161496162415,0.3343326151371002
330,0.07234643064439297,0.09622295200824738,0.2660319209098816,0.3365575969219208
340,0.07318401820957661,0.09625306725502014,0.265617698431015,0.3370172381401062
350,0.07234189584851265,0.094662144780159,0.26557785272598267,0.33537960052490234
360,0.07316585034132003,0.0957208052277565,0.26529133319854736,0.3345407545566559
370,0.07292922548949718,0.09565133601427078,0.2649756968021393,0.33737480640411377
380,0.07276217862963677,0.09516152739524841,0.2647865116596222,0.33504098653793335
390,0.07241626866161824,0.09551084041595459,0.26467037200927734,0.33689892292022705
400,0.0726104911416769,0.096187524497509,0.26455724239349365,0.3366735875606537
410,0.07252022922039032,0.09516876190900803,0.2643868327140808,0.33713850378990173
420,0.0724590677767992,0.09510411322116852,0.26435333490371704,0.3369280993938446
430,0.07258914671838283,0.09467238187789917,0.2641746699810028,0.3371294140815735
440,0.07192884385585785,0.09572012722492218,0.26401758193969727,0.3370583653450012
450,0.07195823304355145,0.0950365960597992,0.263978511095047,0.3362465798854828
460,0.07165590114891529,0.09506318718194962,0.26394274830818176,0.33772921562194824
470,0.07225752808153629,0.09532099962234497,0.26370158791542053,0.3373563885688782
480,0.07199629954993725,0.0954594537615776,0.26372748613357544,0.33762380480766296
490,0.07172462046146393,0.0956382304430008,0.263637900352478,0.33680853247642517
500,0.07183369249105453,0.09539176523685455,0.2635980546474457,0.336860328912735
