date,h0,h1,h2
2019-03-26,4.351969e-12,0.99999905,1.5007277e-12
2019-03-27,7.8819895e-20,0.99999964,1.8664094e-10
2019-03-28,2.7604858e-09,0.9991824,7.375669e-14
2019-03-29,3.256339e-14,0.99991775,8.220393e-13
2019-03-30,0.0,1.0,0.004755606
2019-03-31,0.0,1.0,0.7719154
2019-04-01,1.1391584e-25,1.0,8.622871e-09
2019-04-02,9.664937e-31,1.0,1.1522818e-06
2019-04-04,1.5036619e-12,0.99999905,8.2078897e-13
2019-04-05,2.3573026e-21,1.0,5.388352e-09
2019-04-06,1.01711146e-17,1.0,4.713654e-10
2019-04-07,1.7098677e-13,1.0,2.3445617e-11
2019-04-10,3.2266755e-21,1.0,2.2496693e-08
2019-04-11,9.519235e-16,1.0,2.771881e-10
2019-04-12,2.987683e-14,1.0,9.783329e-11
2019-04-13,1.3913093e-09,1.0,3.1451699e-12
2019-04-14,3.163875e-09,1.0,2.006243e-12
2019-04-15,8.215135e-11,1.0,4.14623e-11
2019-04-16,7.362029e-12,1.0,4.572108e-10
2019-04-17,1.8828451e-11,1.0,3.1074165e-10
2019-04-18,3.2840288e-09,1.0,7.778571e-11
2019-04-19,9.625282e-05,1.0,1.4454976e-12
2019-04-20,0.0012713416,0.9999999,5.0678385e-13
2019-04-21,0.027358923,0.9999995,2.0439046e-13
2019-04-22,0.1268403,0.9999995,2.4522737e-13
2019-04-23,0.8715129,0.9999963,9.2602365e-14
2019-04-24,0.999153,0.99993205,2.013617e-14
2019-04-25,0.68713653,0.999979,9.3350905e-14
2019-04-26,0.46889803,0.9999852,1.4885542e-13
2019-04-27,0.5577832,0.99999523,8.221517e-14
2019-04-28,0.09766723,0.9999995,3.1016026e-13
2019-04-29,0.026668778,0.9999999,5.307232e-13
2019-04-30,0.09146401,0.9999994,2.445902e-13
2019-05-02,0.96686846,0.99994385,2.6068283e-14
2019-05-05,0.9930976,0.999529,1.3291338e-14
2019-05-06,0.890303,0.99981254,2.3780528e-14
2019-05-07,0.86683244,0.99967337,2.0815105e-14
2019-05-08,0.8734457,0.9986726,1.2785201e-14
2019-05-09,0.62014633,0.9990119,1.9280367e-14
2019-05-10,0.27473655,0.99951243,3.0598174e-14
2019-05-11,0.04575345,0.99896026,2.9495598e-14
2019-05-12,0.16766004,0.99671894,1.23936616e-14
2019-05-13,0.0126881115,0.99929726,2.4075858e-14
2019-05-15,0.038169518,0.9981034,1.866954e-14
2019-05-16,0.039596673,0.9996902,2.87281e-14
2019-05-17,0.0032847403,0.9999678,6.22904e-14
2019-05-18,0.0021675816,0.9999405,6.127171e-14
2019-05-19,0.048281614,0.9959467,1.7483133e-14
2019-05-20,0.0006822626,0.9928988,2.6757674e-14
2019-05-21,0.002144904,0.99654514,1.79945e-14
2019-05-22,0.008134428,0.921172,3.1381304e-15
2019-05-23,7.2922034e-05,0.9775095,7.281273e-15
2019-05-24,1.33799895e-05,0.00609428,2.2732812e-15
2019-05-25,3.3698038e-06,0.0032047231,1.1623331e-14
