nb_unit,best_bb_match,pearson_r,abs_r
h6,h1,0.7131,0.7131
h0,h3,-0.6908,0.6908
h2,h3,-0.6404,0.6404
h1,h0,-0.5923,0.5923
h3,h6,0.4668,0.4668
h4,h6,0.4519,0.4519
h5,h5,-0.3445,0.3445
