nb_unit,best_bb_match,pearson_r,abs_r
h2,h5,0.7939,0.7939
h3,h3,0.7208,0.7208
h5,h1,0.6022,0.6022
h4,h1,-0.5062,0.5062
h1,h0,0.3304,0.3304
h0,h0,-0.2089,0.2089
