date,h0,h1,h2,h3,h4
2019-03-26,0.055411197,3.93741e-12,0.9999088,0.99950504,1.0244351e-11
2019-03-27,2.496573e-06,1.1568942e-18,0.98593247,0.99999,4.0962264e-12
2019-03-28,0.98474586,1.6816422e-09,0.98026407,0.95556194,1.5326392e-10
2019-03-29,0.026851134,1.7559203e-13,0.95539373,0.99848,1.3400304e-11
2019-03-30,2.7479128e-22,2.8239585e-37,0.9999999,1.0,1.7617547e-16
2019-03-31,8.41527e-28,0.0,1.0,1.0,1.0929094e-17
2019-04-01,8.521433e-10,1.0116678e-23,0.9999676,1.0,8.4473634e-14
2019-04-02,6.86737e-14,1.7019546e-28,0.9999987,1.0,2.0592779e-14
2019-04-04,0.63352984,2.4386923e-12,0.99978715,0.9977047,2.8105138e-11
2019-04-05,7.439379e-06,6.793245e-21,0.9999945,0.9999988,1.6299392e-11
2019-04-06,0.00435913,6.8184907e-18,0.99999774,0.9999342,9.1392637e-11
2019-04-07,0.7778702,3.583941e-14,0.9999995,0.998437,2.0674604e-10
2019-04-10,0.00052026205,1.5546918e-21,0.9999995,0.9999995,6.027484e-11
2019-04-11,0.37199178,1.978853e-16,0.9999989,0.9999467,2.6846475e-10
2019-04-12,0.9063853,3.3605376e-15,0.99999714,0.999485,1.0163748e-09
2019-04-13,0.999931,3.956911e-11,0.9999968,0.86534095,1.3039322e-08
2019-04-14,0.9999516,8.418007e-11,0.99999845,0.8914443,8.898831e-09
2019-04-15,0.99988365,8.1129466e-13,1.0,0.98059076,1.7744014e-08
2019-04-16,0.99993825,1.727668e-14,1.0,0.9949066,3.3392343e-08
2019-04-17,0.9997726,7.916001e-14,1.0,0.9933122,1.7019493e-08
2019-04-18,0.9999987,4.3576007e-12,1.0,0.9099055,4.0596282e-07
2019-04-19,1.0,2.482266e-08,0.9999999,0.010397063,2.8473944e-05
2019-04-20,1.0,5.3894183e-07,0.99999976,0.008708618,9.645684e-06
2019-04-21,1.0,1.2382353e-05,0.99999905,0.004890318,1.0695326e-05
2019-04-22,1.0,7.648925e-05,0.9999988,0.003089125,7.354783e-06
2019-04-23,1.0,0.003744102,0.99999547,0.000506911,1.4501875e-05
