date,h0,h1,h2,h3,h4
2019-03-26,0.97542375,0.00047002014,0.2761693,0.0001556595,0.99997973
2019-03-27,0.99567777,1.0645088e-05,0.21069041,0.0047003436,0.9997471
2019-03-28,0.97042197,2.0134397e-05,0.011485649,0.010475055,0.99975497
2019-03-29,0.9993368,8.199012e-06,0.0065381,0.0038850557,0.99615616
2019-03-30,0.9576593,0.0002142772,0.8827342,4.0051596e-06,0.9995472
2019-03-31,0.8717309,0.00022857293,0.9537694,4.1947544e-07,0.99993086
2019-04-01,0.6279535,0.0007684456,0.16674848,3.0414536e-05,0.9999732
2019-04-02,0.8580632,0.00015024227,0.9443402,0.0004061073,0.9999771
2019-04-04,0.99337775,0.0001740416,0.08375306,1.9592044e-05,0.9999958
2019-04-05,0.587871,0.00016175481,0.91010493,7.511478e-07,0.9999044
2019-04-06,0.9873166,0.00012218286,0.4725918,6.6045836e-06,0.99995744
2019-04-07,0.98385936,0.011201878,0.92983514,2.7134377e-08,0.9999987
2019-04-10,0.85800433,7.77455e-05,0.63366824,0.00049582653,0.9998385
2019-04-11,0.9665241,0.0010077596,0.94189304,4.3952117e-05,0.999998
2019-04-12,0.020939725,0.0003231018,0.9991416,6.111285e-05,0.99999976
2019-04-13,0.28197187,0.000120183235,0.14736442,0.02426595,0.9999075
2019-04-14,0.41933587,0.00025209968,0.9968593,4.6686705e-06,0.9999994
2019-04-15,0.99398154,0.07145154,0.9614714,1.8816819e-07,0.9999536
2019-04-16,0.8723861,0.0009809438,0.653137,3.118939e-05,0.99663466
2019-04-17,0.9541136,0.004241408,0.87053543,1.814973e-05,0.99999297
2019-04-18,0.8387502,0.99711585,0.9967084,4.761963e-10,1.0
2019-04-19,0.9975107,0.25263682,0.56785464,9.8237885e-12,0.9999274
2019-04-20,0.9494154,0.99176145,0.9920759,2.7953487e-07,0.9999989
2019-04-21,0.85017115,0.99883,0.6197492,1.484269e-11,0.9999999
2019-04-22,0.037439186,0.99995124,0.9995459,5.8021106e-13,1.0
2019-04-23,0.9900782,0.99993145,0.8400988,9.4836305e-11,0.99999774
2019-04-24,0.99762887,0.9983014,0.9980724,1.1258561e-11,0.9999999
2019-04-25,0.9581006,0.99787533,0.9968821,1.6479412e-08,0.9999999
2019-04-26,0.8779982,0.92314667,0.35937256,4.386993e-10,0.99999917
2019-04-27,0.98454905,0.99939585,0.9385104,2.578317e-13,1.0
2019-04-28,0.612892,0.8395679,0.22514023,2.375188e-10,0.9999999
2019-04-29,0.9625137,0.99998474,0.99763286,3.215074e-15,1.0
2019-04-30,0.62549704,0.9988543,0.02865896,8.07448e-12,0.9999958
2019-05-02,0.10263926,0.99996984,0.59241056,3.5563275e-11,0.99999917
2019-05-05,0.64778405,0.9997862,0.02151697,5.6747843e-11,0.99999845
2019-05-06,0.10846727,0.99325305,0.51496696,2.79195e-09,1.0
2019-05-07,0.67968804,0.99503714,0.019385308,4.392182e-11,0.9999864
2019-05-08,0.9220286,0.9584159,0.5323685,1.2371115e-09,0.9999689
2019-05-09,0.51945615,0.9999894,0.4317303,4.9818107e-14,0.9999995
2019-05-10,0.9607061,0.99371076,0.007510446,2.2966719e-11,0.9999999
2019-05-11,0.53969336,0.99753904,0.017825916,4.95466e-11,0.99999964
2019-05-12,0.9354312,0.62161595,0.36699483,1.2044613e-07,0.9999989
2019-05-13,0.4548592,0.1566764,0.8788708,3.6333415e-05,0.99999595
2019-05-15,0.61228174,0.32581255,0.008337189,3.848886e-08,0.99999094
2019-05-16,0.0039349906,0.016257195,0.008670122,0.0021309014,0.9989795
2019-05-17,0.6186042,0.007195021,0.0013533592,4.3137293e-06,0.99703264
2019-05-18,0.87918895,0.99706835,0.012779445,8.06803e-08,0.9997383
2019-05-19,0.63697696,0.9848563,0.0005507219,2.580738e-09,0.99988663
2019-05-20,0.8605514,0.24156323,0.0028251533,1.1299554e-07,0.9999474
2019-05-21,0.99100775,0.04602158,0.00012887876,8.9327585e-07,0.9964908
2019-05-22,0.99092746,0.098570116,6.9412934e-05,1.7491465e-07,0.99583215
2019-05-23,0.7815575,0.029260429,0.00014161917,2.543549e-07,0.99681586
2019-05-24,0.09637588,0.00081510615,0.018362967,0.00013310234,0.99500614
2019-05-25,0.9055813,0.12924019,5.302479e-05,3.0989785e-08,0.9996026
2019-05-26,0.770593,0.017968599,1.7626528e-05,1.7606788e-05,0.95810926
2019-05-27,0.11056692,0.2201715,0.00038869627,2.6624355e-07,0.99998844
2019-05-28,0.63415253,0.0005933286,0.00075207214,1.3316582e-05,0.9999746
2019-05-29,0.0009790866,0.0005387045,0.00017375077,0.013214009,0.9999478
